,title,originallink,link,description,pubDate
10,"'THE 맛녀석' 문세윤, 제작진에 '조작 의혹' 제기…불신 폭발했다",https://www.xportsnews.com/article/1980032,https://m.entertain.naver.com/article/311/0001845243,"다 조작이 가능하다&quot;라며 <b>김해준</b>에게 기록 측정을 요청했다. 그 결과 제작진이 측정한 기록은 2분 12초 32였고, <b>김해준</b>이 측정한 기록은 2분 12초 15였다. 이에 문세윤은 &quot;거봐! 거짓말했지&quot;라고 억지 주장을 하며 제작진을... ","Mon, 31 Mar 2025 11:37:00 +0900"
11,"‘아리랑’ 황신정, 배우 김국현 子 사업가와 4월 백년가약",https://www.newsen.com/news_view.php?uid=202503311119301910,https://m.entertain.naver.com/article/609/0000969836,"두 사람의 결혼식은 새롭게 단장한 강남 아르베웨딩에서 <b>김해준</b> 디렉터와 함께 진행될 예정이다. 축가는 이시안(신의목소리), 정준교(오빠시대), 빅토리아(팝페라)가 맡는다. 황신정은 북한에서도 상영된 영화 '아리랑... ","Mon, 31 Mar 2025 11:27:00 +0900"
12,"'THE 맛녀석' 문세윤, 쪼는맛 게임에 흑화…억지 조작설 제기",http://www.starnewsk.com/news/articleView.html?idxno=45162,http://www.starnewsk.com/news/articleView.html?idxno=45162,"다 조작이 가능하다&quot;라며 <b>김해준</b>에게 기록 측정을 요청했다. 그 결과 제작진이 측정한 기록은 2분 12초 32였고, <b>김해준</b>이 측정한 기록은 2분 12초 15였다. 이에 문세윤은 &quot;거봐! 거짓말했지&quot;라고 억지 주장을 하며 제작진을... ","Mon, 31 Mar 2025 11:22:00 +0900"
13,"[비즈 르포] 윤형빈소극장 문 닫는 날, 마지막 공연도 웃으며 안녕①",http://enter.etoday.co.kr/news/view/274791,http://enter.etoday.co.kr/news/view/274791,"'개그콘서트'에서 활약 중인 신윤승, 조수연, 박민성을 비롯해 개그맨 정찬민, 신규진, <b>김해준</b>, 최지용, 박세미, 김두현, 최지명, 이유미, 강주원, 개그 아이돌 코쿤 등 방송과 유튜브를 넘나들며 활약 중인 개그맨들... ","Mon, 31 Mar 2025 03:02:00 +0900"
14,"'맛있는녀석들' 닭내장탕 특집…<b>김해준</b>, 인생 몸무게 107.7kg 공개",https://www.job-post.co.kr/news/articleView.html?idxno=138292,https://www.job-post.co.kr/news/articleView.html?idxno=138292,이미지출처 = 코미디TV 예능 'THE 맛있는 녀석들' 코미디TV 예능 'THE 맛있는 녀석들'에서 <b>김해준</b>이 인생 최대... 본격적인 먹방을 앞두고 문세윤은 <b>김해준</b>의 돌출된 D라인을 지적하며 &quot;배로 테이블을 밀 생각이냐&quot;고 놀렸고... ,"Sun, 30 Mar 2025 11:54:00 +0900"
15,"45세 신봉선, 개그맨 부부 24호 꿈꾸나 &quot;개그맨들끼리 '나는솔로' 하자&quot;",http://www.atstar1.com/news/articleView.html?idxno=6022138,https://m.entertain.naver.com/article/415/0000036820,"&quot;라고 물었고, 박휘순은 &quot;너무 재밌겠다. 매칭되면 너무 웃기다&quot;고 화답했다. 개그맨 부부 계보는 1호 최양락 팽현숙 부부를 시작으로 지난해 10월 결혼한 <b>김해준</b> 김승혜 부부 23호까지 나온 상태다. (사진=신봉선 채널)","Sat, 29 Mar 2025 13:00:00 +0900"
16,'THE 맛있는 녀석들' 서울 가락동 돼지막창구이 맛집 위치는? &quot;칼칼한 매...,https://www.topstarnews.net/news/articleView.html?idxno=15624975,https://www.topstarnews.net/news/articleView.html?idxno=15624975,"김준현·문세윤·황제성·<b>김해준</b> 4인방은 서울 상왕십리역 닭내장탕 식당, 가락동 돼지막창구이 음식점을 방문했다. 서울 송파구 가락동, 경찰병원역 인근 약 300m 거리에 위치한 돼지막창 맛집은 인기 막창집니이다.... ","Fri, 28 Mar 2025 20:16:00 +0900"
17,'THE 맛있는 녀석들' 서울 상왕십리역 닭내장탕 맛집 위치는? &quot;50년 전통...,https://www.topstarnews.net/news/articleView.html?idxno=15624974,https://www.topstarnews.net/news/articleView.html?idxno=15624974,"김준현·문세윤·황제성·<b>김해준</b> 4인방은 서울 상왕십리역 닭내장탕 식당, 가락동 돼지막창구이 음식점을 방문했다. 서울 성동구 도선동, 상왕십리역 인근 약 150m 거리의 양지사거리 일대 위치한 닭내장탕 맛집은 인기... ","Fri, 28 Mar 2025 20:06:00 +0900"
18,"107.7kg 찍고 D라인 장착…<b>김해준</b>, 임산부도 놀랄 ‘진짜 맛녀석’",https://www.mk.co.kr/article/11275942,https://m.entertain.naver.com/article/410/0001058159,개그맨 <b>김해준</b>이 역대급 몸무게와 폭발적인 D라인으로 ‘진짜 맛있는 녀석’에 등극했다. 오는 28일... 방송 초반부터 문세윤은 <b>김해준</b>의 압도적인 D라인에 주목했다. “배로 테이블 밀 생각이냐?”며 폭소를 터뜨렸고... ,"Fri, 28 Mar 2025 09:20:00 +0900"
19,"&quot;107.7kg&quot; <b>김해준</b>, ♥김승혜보다 먼저 D라인 됐다…&quot;인생 최대 몸무게 달...",https://mydaily.co.kr/page/view/2025032710181069403,https://m.entertain.naver.com/article/117/0003926729,개그맨 <b>김해준</b>이 인생 최대 몸무게를 공개한다. 28일 방송되는 코미디TV 'THE 맛있는 녀석들'에서는 속 보이는... 본격적인 먹방을 위해 자리를 잡은 문세윤은 <b>김해준</b>의 심상치 않은(?) D라인에 “배로 테이블을 밀... ,"Fri, 28 Mar 2025 06:43:00 +0900"
